ds,yhat,yhat_lower,yhat_upper,fecha,afluencia,zscore_robusto,anomalia_mad,det_prophet,det_mad,prioridad_auditoria,linea,estacion,impacto_pasajeros,direccion_anomalia
2026-06-11,13346.555678506873,11018.541890030698,15657.643306678752,2026-06-11,9045,-15.569494979773559,True,True,True,CRÍTICA (Consenso),linea 12,zapotitlán,-4302.0,Baja (Caída atípica)
2026-04-04,9635.777128812908,7680.716825390344,11691.95272092597,2026-04-04,5948,-15.019844174814361,True,True,True,CRÍTICA (Consenso),linea 12,calle 11,-3688.0,Baja (Caída atípica)
2025-04-15,17680.22279974286,14348.869215150695,21247.74831610795,2025-04-15,13904,-17.478242229409886,True,True,True,CRÍTICA (Consenso),linea 12,mexicaltzingo,-3776.0,Baja (Caída atípica)
2023-04-07,11479.071290220549,8647.980331057159,14533.299875182416,2023-04-07,3725,-34.431534172174196,True,True,True,CRÍTICA (Consenso),linea 12,mexicaltzingo,-7754.0,Baja (Caída atípica)
2025-12-26,35587.12370489936,28025.54237102301,43803.742092344306,2025-12-26,27888,-6.62346188602597,True,True,True,CRÍTICA (Consenso),linea 12,periférico oriente,-7699.0,Baja (Caída atípica)
2023-04-07,5438.461866271206,3621.566983812312,7179.154954629947,2023-04-07,2008,-10.619182488549352,True,True,True,CRÍTICA (Consenso),linea 12,ermita,-3430.0,Baja (Caída atípica)
2024-03-29,32031.582883280204,26342.414741761808,38228.1581550329,2024-03-29,12545,-22.67831834058352,True,True,True,CRÍTICA (Consenso),linea 12,insurgentes sur,-19487.0,Baja (Caída atípica)
2024-01-30,16010.717900536229,12290.239618336307,19705.944506875076,2024-01-30,5813,5813000000.0,True,True,True,CRÍTICA (Consenso),linea 12,nopalera,-10198.0,Baja (Caída atípica)
2025-12-24,56864.114824211465,46581.87021511788,68104.4449524704,2025-12-24,38588,-5.104570541384908,True,True,True,CRÍTICA (Consenso),linea 12,tláhuac,-18276.0,Baja (Caída atípica)
2026-04-02,10918.816995970967,9102.061850388978,12777.315667567493,2026-04-02,5691,-6479000000.0,True,True,True,CRÍTICA (Consenso),linea 12,parque de los venados,-5228.0,Baja (Caída atípica)
2026-05-20,18326.86873674517,14742.31301619624,22130.319975249604,2026-05-20,24955,59.95909088089207,True,True,True,CRÍTICA (Consenso),linea 2,villa de cortés,6628.0,Alza (Pico atípico)
2025-11-07,35146.761552701755,29682.218181561282,40840.26877536364,2025-11-07,41211,23.130442193562455,True,True,True,CRÍTICA (Consenso),linea 2,tacuba,6064.0,Alza (Pico atípico)
2025-11-07,18052.427953976083,14431.459372135287,21843.553519219247,2025-11-07,23377,18.325786594832184,True,True,True,CRÍTICA (Consenso),linea 2,villa de cortés,5325.0,Alza (Pico atípico)
2024-09-11,29924.92866455431,17540.154180967955,43161.00492733764,2024-09-11,45208,16.836092099282165,True,True,True,CRÍTICA (Consenso),linea 2,allende,15283.0,Alza (Pico atípico)
2022-04-27,10562.947473574137,8625.067091053575,12309.027655260357,2022-04-27,12852,4.886534537175445,True,True,True,CRÍTICA (Consenso),linea 2,panteones,2289.0,Alza (Pico atípico)
2025-01-04,24501.069814747334,17556.528375948023,30808.96826933332,2025-01-04,35585,9.206689004826577,True,True,True,CRÍTICA (Consenso),linea 2,revolución,11084.0,Alza (Pico atípico)
2025-04-20,24217.56253836495,15713.12973412356,33423.52293996363,2025-04-20,33800,14.405073511970807,True,True,True,CRÍTICA (Consenso),linea 2,bellas artes,9582.0,Alza (Pico atípico)
2024-11-19,29035.628518839672,17224.178939850146,40318.99221716127,2024-11-19,43857,5.499268023589748,True,True,True,CRÍTICA (Consenso),linea 2,allende,14821.0,Alza (Pico atípico)
2025-11-14,35362.67877030402,29900.733862074583,40775.98784696711,2025-11-14,41641,8.884349616440899,True,True,True,CRÍTICA (Consenso),linea 2,tacuba,6278.0,Alza (Pico atípico)
2025-11-19,34988.27170247683,29646.879874256345,41078.266470036295,2025-11-19,41673,8.258039742281353,True,True,True,CRÍTICA (Consenso),linea 2,tacuba,6685.0,Alza (Pico atípico)
2023-06-24,28181.16585487046,18999.411278955406,36462.33378685172,2023-06-24,46129,4.864413888883783,True,True,True,CRÍTICA (Consenso),linea 2,bellas artes,17948.0,Alza (Pico atípico)
2023-05-20,54548.81103225415,41139.305187965045,67259.85806834164,2023-05-20,69314,11.5701107089259,True,True,True,CRÍTICA (Consenso),linea 2,tasqueña,14765.0,Alza (Pico atípico)
2025-11-13,18097.725696122307,14195.327731743278,21633.67339662454,2025-11-13,22950,4.387255799202817,True,True,True,CRÍTICA (Consenso),linea 2,villa de cortés,4852.0,Alza (Pico atípico)
2025-01-10,26320.75570538659,14992.145530052425,38280.41627060507,2025-01-10,44012,12.415501752738994,True,True,True,CRÍTICA (Consenso),linea 2,allende,17691.0,Alza (Pico atípico)
2026-06-03,19406.801691882887,15064.641213835444,23932.252292061385,2026-06-03,32327,20.690148139082666,True,True,True,CRÍTICA (Consenso),linea 2,xola,12920.0,Alza (Pico atípico)
2026-06-01,18275.837619459937,13838.590529880332,22722.51682194167,2026-06-01,31570,9.477839831632265,True,True,True,CRÍTICA (Consenso),linea 2,xola,13294.0,Alza (Pico atípico)
2023-06-03,14640.256179537171,11093.856165463436,18253.366565345234,2023-06-03,18642,5376000000.0,True,True,True,CRÍTICA (Consenso),linea 2,nativitas,4002.0,Alza (Pico atípico)
2025-07-26,33803.06029775657,21956.65565570449,45702.241484233746,2025-07-26,55148,8.588896735621384,True,True,True,CRÍTICA (Consenso),linea 2,allende,21345.0,Alza (Pico atípico)
2026-03-17,18387.470919494706,14566.889698344557,22474.105651603906,2026-03-17,0,-41.529359523925706,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-18387.0,Baja (Caída atípica)
2026-04-02,28639.066751902617,19219.45098604323,37637.91126201073,2026-04-02,13566,-20.272657088090476,True,True,True,CRÍTICA (Consenso),linea 2,normal,-15073.0,Baja (Caída atípica)
2024-12-24,17361.800274235968,12901.03624373027,21570.500669999205,2024-12-24,11000,-35.729780642006624,True,True,True,CRÍTICA (Consenso),linea 2,xola,-6362.0,Baja (Caída atípica)
2022-04-21,13503.004702725279,10403.727656076444,16785.10445604018,2022-04-21,10167,-5.244509775649907,True,True,True,CRÍTICA (Consenso),linea 2,cuitláhuac,-3336.0,Baja (Caída atípica)
2024-02-24,12159.521096953382,9208.883950481222,15206.459377531428,2024-02-24,4395,-4.53417901199426,True,True,True,CRÍTICA (Consenso),linea 2,cuitláhuac,-7765.0,Baja (Caída atípica)
2022-04-16,12023.050726595044,8475.36437335813,15518.892719126865,2022-04-16,7410,-3.8434958526635548,True,True,True,CRÍTICA (Consenso),linea 2,ermita,-4613.0,Baja (Caída atípica)
2023-05-01,10347.475245269818,6997.23765243197,14208.485434813345,2023-05-01,6729,-14.243861244722783,True,True,True,CRÍTICA (Consenso),linea 2,nativitas,-3618.0,Baja (Caída atípica)
2023-06-03,50967.397459062784,27928.148168027546,71740.42372915483,2023-06-03,26630,-29.064093822336194,True,True,True,CRÍTICA (Consenso),linea 2,zócalo/tenochtitlan,-24337.0,Baja (Caída atípica)
2024-06-16,6880.6538929380795,3719.6432265902436,9976.03031428759,2024-06-16,3353,-24.002000243458262,True,True,True,CRÍTICA (Consenso),linea 2,cuitláhuac,-3528.0,Baja (Caída atípica)
2025-12-05,36976.933499902996,26480.150498540857,47239.23157010701,2025-12-05,1147,-5.546595826764718,True,True,True,CRÍTICA (Consenso),linea 2,pino suárez,-35830.0,Baja (Caída atípica)
2026-06-11,17377.34107497634,13252.659690409035,21280.365484818485,2026-06-11,7581,7581000000.0,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-9796.0,Baja (Caída atípica)
2025-04-18,27314.69157745106,17086.25941612476,38109.98287371053,2025-04-18,12638,-3670.1282274094547,True,True,True,CRÍTICA (Consenso),linea 2,pino suárez,-14677.0,Baja (Caída atípica)
2024-10-10,48155.41891239559,28150.191986954425,67587.39196169791,2024-10-10,0,-3.5002270466123604,True,True,True,CRÍTICA (Consenso),linea 2,zócalo/tenochtitlan,-48155.0,Baja (Caída atípica)
2026-04-04,12886.992645034956,9133.461711935553,16633.18515685806,2026-04-04,6499,-21.992145847414655,True,True,True,CRÍTICA (Consenso),linea 2,villa de cortés,-6388.0,Baja (Caída atípica)
2024-03-29,18270.36881913097,14797.957974073306,21948.385115152196,2024-03-29,6651,-5.203153903029263,True,True,True,CRÍTICA (Consenso),linea 2,nativitas,-11619.0,Baja (Caída atípica)
2026-03-19,18519.137286641628,14533.922331588428,22332.291492564127,2026-03-19,0,-33.0135881941994,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-18519.0,Baja (Caída atípica)
2026-04-02,17125.956367732255,13133.32759153559,21020.6686314255,2026-04-02,0,-5.293849856947616,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-17126.0,Baja (Caída atípica)
2023-04-08,51839.166478816274,38119.50070672001,65543.01660801456,2023-04-08,36966,-3.592978391399073,True,True,True,CRÍTICA (Consenso),linea 2,tasqueña,-14873.0,Baja (Caída atípica)
2023-10-06,32665.857478646096,22539.950622585293,42650.066582804044,2023-10-06,19157,-13.026973050876558,True,True,True,CRÍTICA (Consenso),linea 2,pino suárez,-13509.0,Baja (Caída atípica)
2024-10-02,33277.266556868046,27630.19690797781,39152.70393852853,2024-10-02,14606,-6.446869379048103,True,True,True,CRÍTICA (Consenso),linea 2,tacuba,-18671.0,Baja (Caída atípica)
2025-11-25,30127.461744971166,23783.93044532984,36204.34476867633,2025-11-25,11677,-11.504349923930103,True,True,True,CRÍTICA (Consenso),linea 2,revolución,-18450.0,Baja (Caída atípica)
2025-04-19,9153.178529144143,7183.517120684146,10988.047332515756,2025-04-19,5722,-25.20142729601814,True,True,True,CRÍTICA (Consenso),linea 2,panteones,-3431.0,Baja (Caída atípica)
2022-11-19,47887.43345566941,27394.720845687676,67678.33280595386,2022-11-19,7158,-6.179754394247452,True,True,True,CRÍTICA (Consenso),linea 2,zócalo/tenochtitlan,-40729.0,Baja (Caída atípica)
2025-04-18,18821.255442771377,14764.69589999242,22902.368887699202,2025-04-18,7375,-29.330396469360657,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-11446.0,Baja (Caída atípica)
2026-06-03,24924.252939456142,19542.849120377523,30996.71733029852,2026-06-03,0,-21.907642351459078,True,True,True,CRÍTICA (Consenso),linea 2,chabacano,-24924.0,Baja (Caída atípica)
2025-01-01,14951.090515325068,6903.299123856119,23831.559594297756,2025-01-01,5727,-12.518408215633174,True,True,True,CRÍTICA (Consenso),linea 2,normal,-9224.0,Baja (Caída atípica)
2023-04-08,13768.220765080614,9063.448654996711,18958.30196847467,2023-04-08,7930,-5.376351974417673,True,True,True,CRÍTICA (Consenso),linea 2,general anaya,-5838.0,Baja (Caída atípica)
2024-03-28,30801.227858335238,25331.684625137543,36789.88755926153,2024-03-28,22194,-12.42084951863756,True,True,True,CRÍTICA (Consenso),linea 2,tacuba,-8607.0,Baja (Caída atípica)
2022-06-11,8747.53102596747,6815.362039913125,10723.349887525443,2022-06-11,5181,-19.842922906485214,True,True,True,CRÍTICA (Consenso),linea 2,panteones,-3567.0,Baja (Caída atípica)
2026-06-13,23256.22863289701,17515.846323823796,28852.317274793768,2026-06-13,0,-6.488956767781547,True,True,True,CRÍTICA (Consenso),linea 2,chabacano,-23256.0,Baja (Caída atípica)
2024-06-10,37017.526481042914,16430.06779699405,56736.33229632301,2024-06-10,0,-16.56707414631207,True,True,True,CRÍTICA (Consenso),linea 2,zócalo/tenochtitlan,-37018.0,Baja (Caída atípica)
2022-04-15,55782.15228509569,42230.35727220492,71340.73645243338,2022-04-15,22867,-17.532196201452322,True,True,True,CRÍTICA (Consenso),linea 2,cuatro caminos,-32915.0,Baja (Caída atípica)
2025-04-20,17834.00107431692,10544.094240401048,25092.45732406256,2025-04-20,3589,-19.286503682951682,True,True,True,CRÍTICA (Consenso),linea 2,hidalgo,-14245.0,Baja (Caída atípica)
2023-05-10,13919.865628564738,10631.635706112402,17013.04350879666,2023-05-10,9705,-4.721435309321707,True,True,True,CRÍTICA (Consenso),linea 2,viaducto,-4215.0,Baja (Caída atípica)
2023-12-23,12576.345624808775,7911.389989377242,17547.958457490007,2023-12-23,1784,-18.004078712783976,True,True,True,CRÍTICA (Consenso),linea 2,general anaya,-10792.0,Baja (Caída atípica)
2023-12-05,20182.822023719586,16228.450888322435,24158.231216599273,2023-12-05,15048,-3.998870698519769,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-5135.0,Baja (Caída atípica)
2026-04-03,8651.68679284887,6020.505422903427,11222.965487888,2026-04-03,2407,-13.635224861842877,True,True,True,CRÍTICA (Consenso),linea 2,popotla,-6245.0,Baja (Caída atípica)
2024-12-24,15982.109122840113,11874.55342526568,20134.190609781,2024-12-24,10914,-14.361562657707454,True,True,True,CRÍTICA (Consenso),linea 2,san antonio abad,-5068.0,Baja (Caída atípica)
2024-03-28,11663.394778961547,9728.343713445558,13545.300913460966,2024-03-28,7556,-13.959596654631872,True,True,True,CRÍTICA (Consenso),linea 2,panteones,-4107.0,Baja (Caída atípica)
2022-12-14,22823.563497921943,17906.524611016634,27568.986843451803,2022-12-14,28424,5.495324706248163,True,True,True,CRÍTICA (Consenso),linea 3,etiopía/plaza de la transparencia,5600.0,Alza (Pico atípico)
2022-12-25,-13463.671785777544,-29981.645534352494,1674.5482784571773,2022-12-25,12743,-7.312899808465069,True,True,True,CRÍTICA (Consenso),linea 3,universidad,26207.0,Alza (Pico atípico)
2025-11-13,29507.28118045832,24097.706950334516,34523.94082968822,2025-11-13,36906,3.611505868940795,True,True,True,CRÍTICA (Consenso),linea 3,coyoacán,7399.0,Alza (Pico atípico)
2025-11-12,20024.192221000587,16759.867883243012,23074.05863057283,2025-11-12,25075,10.198125635586122,True,True,True,CRÍTICA (Consenso),linea 3,viveros/derechos humanos,5051.0,Alza (Pico atípico)
2023-04-14,22050.619206833595,14373.163122189158,30121.366196474086,2023-04-14,30655,3.53374506249915,True,True,True,CRÍTICA (Consenso),linea 3,balderas,8604.0,Alza (Pico atípico)
2022-07-26,23635.38616443564,15659.427922649917,31281.856575361624,2022-07-26,32074,18.34510176260056,True,True,True,CRÍTICA (Consenso),linea 3,balderas,8439.0,Alza (Pico atípico)
2022-11-05,23258.89993250895,16277.8695475533,30181.354567368213,2022-11-05,30579,52.032143586251635,True,True,True,CRÍTICA (Consenso),linea 3,miguel ángel de quevedo,7320.0,Alza (Pico atípico)
2025-11-14,33436.092813447736,28386.500684613984,38972.62642793872,2025-11-14,39683,4.813013160602371,True,True,True,CRÍTICA (Consenso),linea 3,la raza,6247.0,Alza (Pico atípico)
2026-04-30,16612.23110856741,12543.135950178808,20718.510238482355,2026-04-30,26261,21.77900456886147,True,True,True,CRÍTICA (Consenso),linea 3,hidalgo,9649.0,Alza (Pico atípico)
2022-08-26,24142.255595462153,19066.198211453182,29064.45814700667,2022-08-26,29413,3.5704734419938937,True,True,True,CRÍTICA (Consenso),linea 3,etiopía/plaza de la transparencia,5271.0,Alza (Pico atípico)
2023-05-06,22349.26817945517,16679.588776917466,28053.71621650907,2023-05-06,28131,9.69275159220636,True,True,True,CRÍTICA (Consenso),linea 3,deportivo 18 de marzo,5782.0,Alza (Pico atípico)
2022-05-21,9059.192152831984,5944.117380414052,12063.884668263374,2022-05-21,14743,4.72143531251316,True,True,True,CRÍTICA (Consenso),linea 3,división del norte,5684.0,Alza (Pico atípico)
2025-11-12,29561.04832076235,24183.700846513188,34530.51274157382,2025-11-12,35312,11.251033132543734,True,True,True,CRÍTICA (Consenso),linea 3,coyoacán,5751.0,Alza (Pico atípico)
2022-11-02,14230.83464156985,11428.469641825559,16877.237810404018,2022-11-02,9889,-10.83622651163962,True,True,True,CRÍTICA (Consenso),linea 3,eugenia,-4342.0,Baja (Caída atípica)
