ID_Auditoria,Fecha,Linea,Estacion,Direccion_Anomalia,Impacto_Pasajeros,Afluencia,Estatus_Investigacion,Hallazgo_Principal,Descripcion_Incidente,Link_Fuente_1,Link_Fuente_2,Observaciones
ANOM-272,2025-03-08 0:00:00,linea 1,salto del agua,Baja (Caída atípica),-6142,2358,Terminado,Falla Oculta (No hay reporte oficial del incidente),no se reportaron incidentes a pesar de la falta de afluencia de personas,,,
ANOM-129,2023-09-01 0:00:00,linea a,la paz,Baja (Caída atípica),-6161,35389,Terminado,Falla Oculta (No hay reporte oficial del incidente),,https://www.infobae.com/mexico/2023/09/01/metro-cdmx-hoy-noticias-retrasos-avances-y-fallas-en-lineas-este-1-de-septiembre/,https://www.tvazteca.com/aztecanoticias/metro-cdmx-en-vivo-que-pasa-hoy-viernes-1-septiembre-2023,Usuarios registraron retrasos significativos y falta de trenes pero no se encontro ningun reporte oficial
ANOM-247,2024-11-30 0:00:00,linea 2,nativitas,Baja (Caída atípica),-6174,11075,Terminado,Falla Oculta (No hay reporte oficial del incidente),,,,
ANOM-270,2025-02-23 0:00:00,linea 12,tezonco,Baja (Caída atípica),-6214,10855,Terminado,Falla Oculta (No hay reporte oficial del incidente),se reportaba contigencia ambiental y fue domingo lo que podria explciar la falta de afluencia,https://www.infobae.com/mexico/2025/02/25/contingencia-ambiental-en-cdmx-esta-es-la-calidad-del-aire-del-25-de-febrero/,,
ANOM-348,2025-12-25 0:00:00,linea 1,san lázaro,Baja (Caída atípica),-6291,10312,Terminado,Feriado No Oficial / Cultural,"fue afectada por la lentitud generalizada que impactó a gran parte de la red del Metro durante el día de Navidad.
",https://www.nmas.com.mx/ciudad-de-mexico/que-paso-linea-b-metro-cdmx-hoy-25-de-diciembre-2025-causa-retrasos-servicio/,,
ANOM-363,2026-02-22 0:00:00,linea 1,isabel la católica,Baja (Caída atípica),-6384,7736,Terminado,Clima Extremo (Inundaciones severas),"Debido a la presencia de lluvia implementan marcha lenta en las Líneas 1,3,4 y 8; piden tener paciencia.",https://www.tvazteca.com/aztecanoticias/metro-cdmx-hoy-22-febrero-2026-en-vivo-avance-trenes-e-incidencias/,,
ANOM-309,2025-09-06 0:00:00,linea 7,barranca del muerto,Baja (Caída atípica),-6567,18286,Terminado,"Falla Mecánica (Tren averiado, puertas, desalojo)","La Línea 7 del metro que corre de Rosario a Barranca del Muerto, usuarios solicitan que se muevan los trenes en ambas direcciones, por ello, reportan algunos retrasos",https://www.reporteindigo.com/Que-pasa-en-el-Metro-CDMX-HOY-6-de-septiembre-Retrasos-en-estaciones-y-afectaciones-lb202509060001.html,,
ANOM-314,2025-09-16 0:00:00,linea 12,nopalera,Baja (Caída atípica),-6704,10524,Terminado,Feriado No Oficial / Cultural,no se reportaron incidencias pero fue dentro de las fechas patrias,,,
ANOM-106,2023-04-03 0:00:00,linea b,ecatepec,Baja (Caída atípica),-6795,16072,Terminado,Efecto Sustitución (Falla en Metrobús u otra línea o estación),Incio operaciones el mexicable de Ecatepec ,https://www.dondeir.com/ciudad/linea-2-del-mexicable-de-ecatepec-a-indios-verdes-en-29-minutos/2023/03/#google_vignette,,Por inicio de operaciones del mexicable de Ecatepec puede explicar la baja de afluencia de esa estaciòn de metro 
ANOM-211,2024-07-08 0:00:00,linea a,los reyes,Baja (Caída atípica),-6898,10985,Terminado,"Incidente Externo (Persona en vías, riña, salud)",no se reportaron incidentes ,https://www.youtube.com/watch?v=2-7PvvhM73M&t=41s,,en la linea 2 se suspendio el servicio por corto circuito
ANOM-158,2023-12-24 0:00:00,linea 2,bellas artes,Baja (Caída atípica),-6931,17214,Terminado,"Evento Masivo (Concierto, partido, manifestación)",Experiencia inmersiva Van Gogh Dreams,https://www.tusbuenasnoticias.com/noticias/mexico/2023/12/19/27052-que-hacer-en-la-cdmx-en-este-diciembre-2023,,Experiencia cerca de ballas artes por las fechas navideñas
ANOM-290,2025-05-10 0:00:00,linea 1,zaragoza,Baja (Caída atípica),-6997,17787,Terminado,Clima Extremo (Inundaciones severas),operó con retrasos y marcha lenta debido a las fuertes lluvias que afectaron a gran parte de la Ciudad de México durante el Día de las Madres.,https://heraldodemexico.com.mx/nacional/2025/5/10/metro-cdmx-estas-son-las-lineas-afectadas-por-lluvias-hoy-sabado-10-de-mayo-697994.html,,
ANOM-347,2025-12-24 0:00:00,linea 1,isabel la católica,Baja (Caída atípica),-7026,9421,Terminado,Feriado No Oficial / Cultural,"operó bajo un horario especial de Nochebuena, cerrando sus puertas a las 23:00 horas, con la última salida de trenes desde las terminales a las 22:30 horas.",https://www.infobae.com/mexico/2025/12/24/metro-cdmx-y-metrobus-hoy-24-de-diciembre/,,
